min,Intensity
0.00000000,-1564.000000
0.00833333,-357.000000
0.01666667,-356.000000
0.02500000,-357.000000
0.03333333,-357.000000
0.04166667,-355.000000
0.05000000,-358.000000
0.05833333,-357.000000
0.06666667,-356.000000
0.07500000,-356.000000
0.08333333,-357.000000
0.09166667,-356.000000
0.10000000,-357.000000
0.10833333,-357.000000
0.11666667,-356.000000
0.12500000,-356.000000
0.13333333,-356.000000
0.14166667,-357.000000
0.15000000,-355.000000
0.15833333,-357.000000
0.16666667,-356.000000
0.17500000,-357.000000
0.18333333,-357.000000
0.19166667,-356.000000
0.20000000,-356.000000
0.20833333,-357.000000
0.21666667,-386.000000
0.22500000,-405.000000
0.23333333,-356.000000
0.24166667,-357.000000
0.25000000,-355.000000
0.25833333,-356.000000
0.26666667,-357.000000
0.27500000,-355.000000
0.28333333,-354.000000
0.29166667,-355.000000
0.30000000,-355.000000
0.30833333,-356.000000
0.31666667,-354.000000
0.32500000,-354.000000
0.33333333,-356.000000
0.34166667,-355.000000
0.35000000,-357.000000
0.35833333,-355.000000
0.36666667,-356.000000
0.37500000,-357.000000
0.38333333,-356.000000
0.39166667,-357.000000
0.40000000,-357.000000
0.40833333,-405.000000
0.41666667,-403.000000
0.42500000,-405.000000
0.43333333,-406.000000
0.44166667,-357.000000
0.45000000,-355.000000
0.45833333,-357.000000
0.46666667,-357.000000
0.47500000,-357.000000
0.48333333,-357.000000
0.49166667,-356.000000
0.50000000,-356.000000
0.50833333,-357.000000
0.51666667,-357.000000
0.52500000,-357.000000
0.53333333,-369.000000
0.54166667,-404.000000
0.55000000,-404.000000
0.55833333,-405.000000
0.56666667,-405.000000
0.57500000,-356.000000
0.58333333,-405.000000
0.59166667,-356.000000
0.60000000,-355.000000
0.60833333,-355.000000
0.61666667,-355.000000
0.62500000,-356.000000
0.63333333,-356.000000
0.64166667,-354.000000
0.65000000,-356.000000
0.65833333,-405.000000
0.66666667,-405.000000
0.67500000,-404.000000
0.68333333,-405.000000
0.69166667,-404.000000
0.70000000,-356.000000
0.70833333,-356.000000
0.71666667,-357.000000
0.72500000,-404.000000
0.73333333,-405.000000
0.74166667,-403.000000
0.75000000,-405.000000
0.75833333,-405.000000
0.76666667,-402.000000
0.77500000,-355.000000
0.78333333,-356.000000
0.79166667,-404.000000
0.80000000,-405.000000
0.80833333,-405.000000
0.81666667,-405.000000
0.82500000,-405.000000
0.83333333,-357.000000
0.84166667,-405.000000
0.85000000,-403.000000
0.85833333,-405.000000
0.86666667,-403.000000
0.87500000,-405.000000
0.88333333,-402.000000
0.89166667,-402.000000
0.90000000,-356.000000
0.90833333,-405.000000
0.91666667,-356.000000
0.92500000,-405.000000
0.93333333,-405.000000
0.94166667,-357.000000
0.95000000,-356.000000
0.95833333,-357.000000
0.96666667,-355.000000
0.97500000,-355.000000
0.98333333,-357.000000
0.99166667,-356.000000
1.00000000,-356.000000
1.00833333,-405.000000
1.01666667,-405.000000
1.02500000,-405.000000
1.03333333,-403.000000
1.04166667,-403.000000
1.05000000,-403.000000
1.05833333,-403.000000
1.06666667,-405.000000
1.07500000,-405.000000
1.08333333,-406.000000
1.09166667,-405.000000
1.10000000,-405.000000
1.10833333,-414.000000
1.11666667,-413.000000
1.12500000,-404.000000
1.13333333,-403.000000
1.14166667,-405.000000
1.15000000,-405.000000
1.15833333,-406.000000
1.16666667,-357.000000
1.17500000,-356.000000
1.18333333,-403.000000
1.19166667,-355.000000
1.20000000,-356.000000
1.20833333,-405.000000
1.21666667,-404.000000
1.22500000,-405.000000
1.23333333,-356.000000
1.24166667,-403.000000
1.25000000,-403.000000
1.25833333,-404.000000
1.26666667,-403.000000
1.27500000,-404.000000
1.28333333,-404.000000
1.29166667,-405.000000
1.30000000,-406.000000
1.30833333,-405.000000
1.31666667,-405.000000
1.32500000,-406.000000
1.33333333,-405.000000
1.34166667,-405.000000
1.35000000,-412.000000
1.35833333,-413.000000
1.36666667,-412.000000
1.37500000,-404.000000
1.38333333,-405.000000
1.39166667,-356.000000
1.40000000,-357.000000
1.40833333,-355.000000
1.41666667,-357.000000
1.42500000,-405.000000
1.43333333,-405.000000
1.44166667,-355.000000
1.45000000,-403.000000
1.45833333,-405.000000
1.46666667,-403.000000
1.47500000,-404.000000
1.48333333,-404.000000
1.49166667,-402.000000
1.50000000,-402.000000
1.50833333,-411.000000
1.51666667,-412.000000
1.52500000,-413.000000
1.53333333,-413.000000
1.54166667,-413.000000
1.55000000,-412.000000
1.55833333,-413.000000
1.56666667,-412.000000
1.57500000,-412.000000
1.58333333,-405.000000
1.59166667,-405.000000
1.60000000,-406.000000
1.60833333,-404.000000
1.61666667,-405.000000
1.62500000,-405.000000
1.63333333,-405.000000
1.64166667,-412.000000
1.65000000,-413.000000
1.65833333,-414.000000
1.66666667,-413.000000
1.67500000,-405.000000
1.68333333,-403.000000
1.69166667,-402.000000
1.70000000,-405.000000
1.70833333,-406.000000
1.71666667,-406.000000
1.72500000,-405.000000
1.73333333,-412.000000
1.74166667,-412.000000
1.75000000,-413.000000
1.75833333,-413.000000
1.76666667,-405.000000
1.77500000,-405.000000
1.78333333,-407.000000
1.79166667,-413.000000
1.80000000,-413.000000
1.80833333,-405.000000
1.81666667,-405.000000
1.82500000,-413.000000
1.83333333,-413.000000
1.84166667,-413.000000
1.85000000,-413.000000
1.85833333,-413.000000
1.86666667,-414.000000
1.87500000,-413.000000
1.88333333,-412.000000
1.89166667,-414.000000
1.90000000,-413.000000
1.90833333,-411.000000
1.91666667,-420.000000
1.92500000,-413.000000
1.93333333,-412.000000
1.94166667,-405.000000
1.95000000,-404.000000
1.95833333,-405.000000
1.96666667,-411.000000
1.97500000,-412.000000
1.98333333,-404.000000
1.99166667,-405.000000
2.00000000,-412.000000
2.00833333,-411.000000
2.01666667,-412.000000
2.02500000,-421.000000
2.03333333,-420.000000
2.04166667,-418.000000
